PRJNA_ID	run_accession	geo_accession	sample_accession	title	fastq_ftp
PRJNA273359	SRR1768921	GSM1588898	SAMN03290937	Pt19-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768921/SRR1768921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768921/SRR1768921_2.fastq.gz
PRJNA273359	SRR1768922	GSM1588899	SAMN03290935	Pt19-DDP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768922/SRR1768922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768922/SRR1768922_2.fastq.gz
PRJNA273359	SRR1768923	GSM1588899	SAMN03290935	Pt19-DDP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768923/SRR1768923_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768923/SRR1768923_2.fastq.gz
PRJNA273359	SRR1768924	GSM1588900	SAMN03290942	Pt20-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768924/SRR1768924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768924/SRR1768924_2.fastq.gz
PRJNA273359	SRR1768925	GSM1588900	SAMN03290942	Pt20-baseline	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768925/SRR1768925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768925/SRR1768925_2.fastq.gz
PRJNA273359	SRR1768926	GSM1588901	SAMN03290934	Pt20-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768926/SRR1768926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768926/SRR1768926_2.fastq.gz
PRJNA273359	SRR1768927	GSM1588901	SAMN03290934	Pt20-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768927/SRR1768927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768927/SRR1768927_2.fastq.gz
PRJNA273359	SRR1768928	GSM1588902	SAMN03290946	Pt20-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768928/SRR1768928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768928/SRR1768928_2.fastq.gz
PRJNA273359	SRR1768929	GSM1588902	SAMN03290946	Pt20-DP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768929/SRR1768929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768929/SRR1768929_2.fastq.gz
PRJNA273359	SRR1768930	GSM1588903	SAMN03290940	Pt21-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768930/SRR1768930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768930/SRR1768930_2.fastq.gz
PRJNA273359	SRR1768931	GSM1588903	SAMN03290940	Pt21-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768931/SRR1768931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768931/SRR1768931_2.fastq.gz
PRJNA273359	SRR1768932	GSM1588903	SAMN03290940	Pt21-DDP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768932/SRR1768932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768932/SRR1768932_2.fastq.gz
PRJNA273359	SRR1768933	GSM1588904	SAMN03290927	Pt21-DDP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768933/SRR1768933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768933/SRR1768933_2.fastq.gz
PRJNA273359	SRR1768934	GSM1588904	SAMN03290927	Pt21-DDP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768934/SRR1768934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768934/SRR1768934_2.fastq.gz
PRJNA273359	SRR1768935	GSM1588904	SAMN03290927	Pt21-DDP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768935/SRR1768935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768935/SRR1768935_2.fastq.gz
PRJNA273359	SRR1768936	GSM1588905	SAMN03290931	Pt21-DP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768936/SRR1768936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768936/SRR1768936_2.fastq.gz
PRJNA273359	SRR1768937	GSM1588905	SAMN03290931	Pt21-DP2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768937/SRR1768937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768937/SRR1768937_2.fastq.gz
