patient_biospecimen	biosample_accession	local_fastq_r1	local_fastq_r2
Pt10-DP3	SAMN03290905	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768881_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768882_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768881_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768882_2.fastq.gz
Pt10-DP4	SAMN03290901	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768883_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768884_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768883_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768884_2.fastq.gz
Pt10-DP5	SAMN03290902	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768885_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768886_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768885_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768886_2.fastq.gz
Pt10-DP6	SAMN03290919	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768887_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768888_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768887_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768888_2.fastq.gz
Pt10-DP7	SAMN03290904	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768889_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768890_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768889_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768890_2.fastq.gz
Pt10-DP8	SAMN03290897	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768891_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768892_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768891_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768892_2.fastq.gz
Pt10-DP9	SAMN03290887	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768893_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768894_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768893_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768894_2.fastq.gz
Pt15-baseline	SAMN03290914	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768895_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768896_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768895_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768896_2.fastq.gz
Pt15-DP1	SAMN03290917	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768897_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768898_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768897_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768898_2.fastq.gz
Pt15-DP2	SAMN03290886	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768899_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768900_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768899_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768900_2.fastq.gz
Pt16-baseline	SAMN03290924	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768901_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768902_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768903_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768901_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768902_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768903_2.fastq.gz
Pt16-DP1	SAMN03290939	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768904_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768905_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768906_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768904_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768905_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768906_2.fastq.gz
Pt17-baseline	SAMN03290949	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768907_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768908_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768909_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768907_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768908_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768909_2.fastq.gz
