patient_biospecimen	biosample_accession	local_fastq_r1	local_fastq_r2
Pt21-DP2	SAMN03290931	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768936_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768937_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768938_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768936_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768937_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768938_2.fastq.gz
Pt22-baseline	SAMN03290923	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768939_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768940_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768939_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768940_2.fastq.gz
Pt22-DDP1	SAMN03290933	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768941_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768942_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768941_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768942_2.fastq.gz
Pt22-DDP2	SAMN03290953	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768943_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768944_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768943_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768944_2.fastq.gz
Pt22-DDP3	SAMN03290941	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768945_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768946_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768945_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768946_2.fastq.gz
Pt23-baseline	SAMN03290926	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768947_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768948_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768947_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768948_2.fastq.gz
Pt23-DDP1	SAMN03290925	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768949_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768949_2.fastq.gz
Pt24-baseline	SAMN03290945	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768950_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768951_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768950_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768951_2.fastq.gz
Pt24-DDP1	SAMN03290938	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768952_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768953_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768952_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768953_2.fastq.gz
Pt3-baseline	SAMN03290890	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768831_1.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768832_1.fastq.gz	/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768831_2.fastq.gz;/media/hugolab/DataRAID1/projects/samples/PRJNA273359/SRR1768832_2.fastq.gz
